granule,start,end,cloud_cover,size_mb,download_nc
EMIT_L2B_MIN_001_20260425T043803_2611503_008,2026-04-25T04:38:03.000Z,2026-04-25T04:38:15.000Z,0,129.9,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20260425T043803_2611503_008/EMIT_L2B_MIN_001_20260425T043803_2611503_008.nc
EMIT_L2B_MIN_001_20260519T101812_2613907_016,2026-05-19T10:18:12.000Z,2026-05-19T10:18:24.000Z,0,127.5,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20260519T101812_2613907_016/EMIT_L2B_MIN_001_20260519T101812_2613907_016.nc
EMIT_L2B_MIN_001_20260626T042016_2617703_007,2026-06-26T04:20:16.000Z,2026-06-26T04:20:28.000Z,0,125.4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20260626T042016_2617703_007/EMIT_L2B_MIN_001_20260626T042016_2617703_007.nc
EMIT_L2B_MIN_001_20260626T042028_2617703_008,2026-06-26T04:20:28.000Z,2026-06-26T04:20:44.000Z,0,159.2,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20260626T042028_2617703_008/EMIT_L2B_MIN_001_20260626T042028_2617703_008.nc
EMIT_L2B_MIN_001_20220831T043422_2224303_006,2022-08-31T04:34:22.000Z,2022-08-31T04:34:34.000Z,1,93.3,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20220831T043422_2224303_006/EMIT_L2B_MIN_001_20220831T043422_2224303_006.nc
EMIT_L2B_MIN_001_20220831T043434_2224303_007,2022-08-31T04:34:34.000Z,2022-08-31T04:34:46.000Z,1,94.0,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20220831T043434_2224303_007/EMIT_L2B_MIN_001_20220831T043434_2224303_007.nc
EMIT_L2B_MIN_001_20230128T080211_2302806_010,2023-01-28T08:02:11.000Z,2023-01-28T08:02:23.000Z,1,79.2,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230128T080211_2302806_010/EMIT_L2B_MIN_001_20230128T080211_2302806_010.nc
EMIT_L2B_MIN_001_20230128T080246_2302806_013,2023-01-28T08:02:46.000Z,2023-01-28T08:02:58.000Z,1,75.2,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230128T080246_2302806_013/EMIT_L2B_MIN_001_20230128T080246_2302806_013.nc
EMIT_L2B_MIN_001_20230201T062312_2303205_005,2023-02-01T06:23:12.000Z,2023-02-01T06:23:23.000Z,1,83.8,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230201T062312_2303205_005/EMIT_L2B_MIN_001_20230201T062312_2303205_005.nc
EMIT_L2B_MIN_001_20230201T062335_2303205_007,2023-02-01T06:23:35.000Z,2023-02-01T06:23:47.000Z,1,78.2,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230201T062335_2303205_007/EMIT_L2B_MIN_001_20230201T062335_2303205_007.nc
